Type,ID,Name,Description,MaxLevel,Cost1,Cost2,Cost3,Cost4,Cost5,Value1,Value2,Value3,Value4,Value5,GridX,GridY,ConnectID,ConnectM
301,101,CircleAtk,Increase Attack by +{0},5,10,16,28,56,112,1,2,2,3,5,0,0,0,0
102,103,GameGoldGain,Increase Gold Gain by +{0}%,5,12,19,34,68,135,0.1,0.15,0.25,0.35,0.5,1,0,101,0
101,102,GamePlayTime,Increase Play Time by +{0}s,5,14,21,38,75,150,1,2,3,4,5,-1,0,101,0
201,106,CenterHP,Increase HP by +{0},5,17,26,46,92,184,1,2,3,4,5,0,1,101,0
103,160,GameSpawnTime,Reduce Spawn Time by -{0}s,5,20,32,56,112,224,-0.05,-0.1,-0.15,-0.2,-0.25,1,1,101,0
105,165,GameGoldBonusChance,Increase Bonus Gold Chance by +{0}%,5,20,32,56,112,224,1,2,3,4,5,-1,1,101,0
202,107,CenterDefense,Increase Defense by +{0},5,45,71,125,250,500,1,2,3,4,5,0,-1,101,0
304,104,CircleCritical,Increase Critical Chance by +{0}%,5,118,186,325,650,1300,2,4,6,8,10,1,-1,101,0
303,115,CircleRadius,Increase Attack Radius by +{0},5,127,200,350,700,1400,0.025,0.05,0.075,0.1,0.2,-1,-1,101,0
301,108,CircleAtk,Increase Attack by +{0},5,136,214,375,750,1500,3,4,6,8,12,-3,1,105,0
302,111,CircleAtkDelay,Reduce Attack Delay by -{0}s,5,145,229,400,800,1600,-0.025,-0.05,-0.075,-0.1,-0.15,-4,1,108,0
201,130,CenterHP,Increase HP by +{0},5,192,302,529,1058,2116,10,20,30,40,50,-4,0,105,0
104,105,GameMonsterLevel,Increase Monster Level by +{0},1,200,0,0,0,0,1,0,0,0,0,-3,0,102,1
101,110,GamePlayTime,Increase Play Time by +{0}s,5,206,324,568,1136,2271,2,4,5,7,10,3,0,103,1
305,116,CircleCriticalDam,Increase Critical Damage by +{0}x,5,227,357,625,1250,2500,0.25,0.45,0.65,0.8,1,4,0,110,0
103,161,GameSpawnTime,Reduce Spawn Time by -{0}s,5,232,364,638,1276,2551,-0.05,-0.1,-0.15,-0.2,-0.25,3,1,110,0
105,166,GameGoldBonusChance,Increase Bonus Gold Chance by +{0}%,5,232,364,638,1276,2551,1,2,3,4,5,3,-1,110,0
102,109,GameGoldGain,Increase Gold Gain by +{0}%,5,243,381,667,1335,2669,0.2,0.25,0.3,0.35,0.4,4,-1,116,0
306,125,CircleVampire,Increase Life Steal by +{0}%,5,364,571,1000,2000,4000,0.25,0.3,0.5,0.75,1,4,1,116,0
202,134,CenterDefense,Increase Defense by +{0},5,1818,2857,5000,10000,20000,2,4,6,8,10,4,2,125,0
303,133,CircleRadius,Increase Attack Radius by +{0},5,3273,5143,9000,18000,36000,0.025,0.05,0.075,0.15,0.25,4,-2,109,0
